KEYWORD,TRAFFIC,DIFFICULTY,SCORE
educate,0.11000000000000001,0.8,14.832396974191326
ballgame,0.27,0.9199999999999999,14.696938456699076
cosmonaut,0.05,0.5900000000000001,14.317821063276352
leprechaun,0.29,0.93,14.247806848775003
exploring,0.09,0.78,14.071247279470287
gameboy,0.39,0.95,13.964240043768946
evolving,0.05,0.61,13.96424004376894
evolving,0.05,0.61,13.96424004376894
787,0.06,0.6799999999999999,13.856406460551021
bazi,0.38,0.95,13.784048752090229
three,0.31,0.9400000000000001,13.638181696985848
aerospace,0.08,0.77,13.564659966250536
mysterious,0.06999999999999999,0.74,13.490737563232042
launching,0.05,0.6599999999999999,13.038404810405298
mame,0.21000000000000002,0.9199999999999999,12.961481396815728
spacetime,0.05,0.67,12.845232578665128
similar,0.1,0.85,12.247448713915892
samsam,0.05,0.71,12.041594578792298
augmented,0.08,0.82,12.000000000000002
augmented,0.08,0.82,12.000000000000002
battalion,0.09,0.8400000000000001,11.999999999999996
mobike,0.27,0.95,11.618950038622257
gera,0.1,0.8699999999999999,11.401754250991385
gera,0.1,0.8699999999999999,11.401754250991385
242,0.22000000000000003,0.95,10.48808848170152
race,0.15,0.93,10.246950765959594
radical,0.2,0.95,10.000000000000005
mul,0.08,0.9199999999999999,8.000000000000004
guerrilla,0.1,0.9400000000000001,7.74596669241483
guerrilla,0.1,0.9400000000000001,7.74596669241483
fer,0.1,0.95,7.071067811865479
evolutionary,0.05,0.9,7.071067811865474
evolutionary,0.05,0.9,7.071067811865474
judas,0.06999999999999999,0.95,5.916079783099618
keynes,0.06999999999999999,0.95,5.916079783099618
thestar,0.05,0.93,5.916079783099614
thestar,0.05,0.93,5.916079783099614
aug,0.05,0.95,5.000000000000003
iwm,0.05,0.95,5.000000000000003
aug,0.05,0.95,5.000000000000003
iwm,0.05,0.95,5.000000000000003
