,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
0,SimpleRockets 2,67,54,63,"['sims', 'simulator', 'space', 'education', 'build', 'simple', 'nasa', 'flight', 'gamefly', 'physics', 'fly', 'rfs', 'dos', 'facade', 'metalstorm', '242', 'second', 'gamecube', 'fsx', '2nd', 'rocketship', 'kerbal', 'cessna', 'educate', 'similar', 'jpl', 'agency', 'aerospace', 'kap', '787', 'samsam']"
1,iGun Pro 2,83,68,59,"['cod', 'messages', 'gun', 'fortnight', 'doom', 'simulator', 'survival', 'apex', 'shooting', 'shooter', 'mmo', 'gundam', 'action', 'ifun', 'night', 'gg', 'bazi', 'arc', 'dos', 'bullet', 'durango', 'glock', 'nra', 'gigi', 'duty', 'four', 'blackops', 'mist', 'force', 'drudge', '242']"
2,Rocket Star,79,56,69,"['sims', 'starz', 'cashapp', 'idle', 'tycoon', 'juegos', 'simulator', 'space', 'cash', 'city', 'build', 'tap', 'clicker', 'tender', 'mine', 'empire', 'moon', 'cad', 'gold', 'mining', 'kenken', 'factory', 'rich', 'idk', 'spaceship', 'goldstar', 'ie', 'facade', 'anno', 'ten', 'cactus']"
3,Rocket Royale,80,86,65,"['pubg', 'twitch', 'duo', 'epic', 'gun', 'vr', 'io', 'raft', 'doom', 'war', 'simulator', 'update', 'oculus', 'survival', 'apex', 'shooting', 'fps', 'scary', 'frag', 'battle', 'shooter', 'legend', 'cd', 'stripe', 'pvp', 'hero', 'fort', 'respawnables', 'gundam', 'action', 'ifun']"
4,Space Shuttle AR,42,40,48,"['ar', 'space', 'emulator', 'nasa', 'launcher', 'shuttle', 'reality', 'stimulation', 'rocketship', 'kerbal', 'jpl', 'augmented', 'aerospace', 'launching', 'aug']"
5,Mars: Mars,67,55,85,"['mario', 'chapters', 'juegos', 'spark', 'arcade', 'tesla', 'momo', 'robot', 'scratch', 'max', 'luna', 'cleo', 'jet', 'pomodoro', 'pia', 'nasa', 'jetpack', 'ellen', 'hunter', 'explorer', 'steve', 'action', 'bob', 'bazi', 'ben', 'character', 'joe', 'exploration', 'dummy', 'charlie', 'bill']"
6,Rocket Star,73,53,49,"['starz', 'sky', 'arcade', 'space', '3d', 'gamefly', 'model', 'fly', 'real', 'dad', 'seen', 'three', 'casual', 'midway', 'mame', 'original', 'rocketship', 'kerbal', 'aerospace', 'modelling', 'iii', 'thestar', 'rocket', 'star', 'rockets']"
7,Rocket Simulator Flight 3D,65,46,62,"['countdown', 'sky', 'pornhub', 'radar', 'astrology', 'space', 'plane', 'earth', 'bang', 'goggle', 'flight', 'moon', 'league', 'guardian', 'glide', 'galaxy', 'drone', 'goo', 'fly', 'rfs', 'gg', 'disk', 'astro', 'allo', 'imap', 'order', 'count', 'prompt', 'system', 'metalstorm', 'missile']"
8,Death Rover,56,50,54,"['car', 'zombie', 'racing', 'raft', 'survival', 'monster', 'space', 'pixel', 'rover', 'driving', 'rush', 'science', 'offroad', 'moon', 'alien', 'physics', 'apocalypse', 'pix', 'infected', 'arc', 'dead', 'research', 'lunar', 'durango', 'die', 'hill', 'pixelart', 'killing', 'doz', 'machine', 'mudding']"
9,Helicopter Rescue Simulator,74,53,71,"['car', 'racing', 'airplay', 'raft', 'simulator', 'flightradar24', 'police', '3d', 'flight', 'offroad', 'pilot', 'helicopter', 'rfs', 'please', 'rescue', 'chipper', 'mudding', 'facade', 'corgi', 'metalstorm', 'apache', 'camion', 'gamecube', 'fsx', 'heli', 'sheriff', 'coptic', 'blackhawk', 'montana', 'comanche', 'rocketship']"
0,Space Agency,60,49,73,"['starz', 'space', 'apollo', 'build', 'nasa', 'moon', 'gamefly', 'planet', 'fly', 'hubble', 'lunar', 'launcher', 'mission', 'iss', 'shuttle', 'planetarium', 'rocketship', 'joey', 'kerbal', 'jpl', 'agency', 'aerospace', 'kap', 'thestar', 'launching']"
1,Epic Battle Sim,75,45,62,"['sims', 'epic', 'zombie', 'sandbox', 'gun', 'brave', 'tabs', 'war', 'simulator', 'survival', 'world', 'blued', 'battle', 'fighting', 'fight', 'slug', 'dauntless', 'arc', 'sand', 'tanked', 'durango', 'metal', 'killing', 'doz', 'mist', 'mundo', 'armani', 'rocketship', 'colorbox', 'undead', 'dwarf']"
2,Go Plane,69,53,73,"['juegos', 'io', 'airplay', 'war', 'simulator', 'arcade', 'plane', 'ganes', 'entertainment', 'air', 'bazi', 'gogo', 'combat', 'modern', 'dogfight', 'casual', 'mobike', 'midway', 'glider', 'missile', 'gamecube', 'decoration', 'radical', 'original', 'expensive', 'dwarf', 'gabby', 'similar', 'guerrilla', 'gera', 'fer']"
3,321 LAUNCH,44,49,47,"['live', 'ar', 'ins', 'space', 'apollo', 'nasa', 'moon', 'newsy', 'buzz', 'launcher', 'florida', 'newsweek', 'newspaper', 'landing', 'saturn', 'coverage', 'armstrong', 'information', 'rocketship', 'joey', 'newsroom', 'kerbal', 'journalism', 'jpl', 'aerospace', 'fifty', 'launching', 'iwm', '321', 'launch']"
